"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","ASSDEM01","ASSDEM02","ASSGRN01","ASSIND01","ASSLIB01","ASSREP01","ASSREP02","CNGDEM01","CNGDEM02","CNGREP01","PRSAIP01","PRSDEM01","PRSGRN01","PRSLIB01","PRSPAF01","PRSREP01","PR_14_N","PR_14_Y","PR_15_N","PR_15_Y","PR_16_N","PR_16_Y","PR_17_N","PR_17_Y","PR_18_N","PR_18_Y","PR_19_N","PR_19_Y","PR_20_N","PR_20_Y","PR_21_N","PR_21_Y","PR_22_N","PR_22_Y","PR_23_N","PR_23_Y","PR_24_N","PR_24_Y","PR_25_N","PR_25_Y","SENAIP01","SENDEM01","SENDEM02","SENLIB01","SENREP01"
"37","110900","77","52","38","4","2937","0","0","0","0","0","0","0","0","0","2657","0","0","0","0","0","0","0","0","0","0","0","1179","0","0","0","0","1359","0","1304","0","1271","11","1418","5","32","1","1124","1414","1131","1730","853","1809","754","1284","1281","1697","887","1310","1209","1455","1038","2022","524","696","1859","1866","660","1268","1253","1575","920","0","0","0","0","0"
"37","111000","77","52","38","4","5140","0","0","0","0","0","0","0","0","0","4659","0","0","0","0","0","0","0","0","0","0","0","2425","0","0","0","0","2019","0","2725","0","1744","15","2958","15","63","3","1531","2109","2316","2484","2003","2714","1714","1981","2489","2593","1901","1980","2393","2602","1751","2996","1398","1511","2952","2822","1547","1827","2529","2414","1885","0","0","0","0","0"
"37","111090","77","52","39","4","4832","0","0","0","0","0","0","0","0","0","4398","0","0","0","0","0","0","0","0","0","0","0","2204","0","0","0","0","1962","0","2479","0","1775","21","2690","17","66","5","1469","2141","2073","2616","1649","2845","1393","1988","2257","2589","1692","2122","2018","2537","1580","3198","977","1412","2815","2922","1218","1939","2188","2451","1626","0","2304","0","0","1866"
"37","111100","77","52","39","4","6238","0","0","0","0","0","0","0","0","0","5539","0","0","0","0","0","0","0","0","0","0","0","3131","0","0","0","0","2104","0","3400","0","1933","10","3608","29","66","4","1696","2380","2863","2794","2544","3294","1968","2202","3086","2962","2378","2380","2752","3175","1921","3490","1675","1855","3403","3199","1939","2123","3017","2769","2276","0","3288","0","0","1953"
"37","111170","77","52","39","4","6418","0","0","0","0","0","0","0","0","0","5788","0","0","0","0","0","0","0","0","0","0","0","3250","0","0","0","0","2194","0","3502","0","2046","15","3806","22","75","6","1746","2489","2991","2789","2778","3372","2139","2203","3356","3001","2588","2447","2919","3418","1921","3411","2013","2089","3396","3365","2008","2211","3171","2837","2414","0","3423","0","0","2034"
"37","111380","77","52","39","4","4474","0","0","0","0","0","0","0","0","0","4049","0","0","0","0","0","0","0","0","0","0","0","2037","0","0","0","0","1829","0","2267","0","1675","7","2530","10","61","3","1333","1934","1981","2363","1606","2719","1196","1905","2030","2394","1566","2052","1771","2146","1657","2891","964","1359","2561","2597","1255","1711","2129","2204","1586","0","2169","0","0","1708"
"37","111570","77","52","39","4","449","0","0","0","0","0","0","0","0","0","417","0","0","0","0","0","0","0","0","0","0","0","218","0","0","0","0","174","0","252","0","148","2","282","4","5","0","117","197","194","226","175","266","135","178","224","246","156","222","171","238","157","285","106","148","253","263","132","167","218","214","172","0","253","0","0","143"
"37","115010","77","52","39","4","9282","0","0","0","0","0","0","0","0","0","8520","0","0","0","0","0","0","0","0","0","0","0","4741","0","0","0","0","3287","0","5100","0","3077","22","5477","33","90","9","2709","3746","4309","4562","3650","4943","3141","3376","4795","4730","3511","3681","4291","5158","2695","5451","2525","3018","5064","5187","2733","3559","4341","4218","3563","0","4932","0","0","3128"
"37","115050","77","52","39","4","4273","0","0","0","0","0","0","0","0","0","3839","0","0","0","0","0","0","0","0","0","0","0","2245","0","0","0","0","1382","0","2405","0","1280","15","2549","13","71","2","1121","1620","2028","1941","1763","2165","1486","1423","2276","2002","1732","1602","1990","2331","1222","2294","1324","1429","2229","2258","1321","1541","2024","1825","1722","0","2338","0","0","1296"
"37","115130","78","49","39","4","5393","0","0","0","0","0","0","0","0","0","4975","0","0","0","0","0","0","0","0","0","0","0","1548","2462","0","0","0","0","0","3276","0","1541","9","3468","24","72","0","1303","2050","2703","2581","2233","2660","2089","1731","3085","2565","2272","2209","2498","3334","1313","3107","1630","1918","2852","3030","1656","2085","2574","2312","2340","0","3224","0","0","1546"
