ID Group,Group,ID Degree,Degree,ID Year,Year,ID Nation,Nation,ID State,State,Total Population
"Primary Education","Primary Education",5,"Grade 2",2014,"2014","01000US","United States","04000US06","California",601140
"Primary Education","Primary Education",6,"Grade 3",2014,"2014","01000US","United States","04000US06","California",701163
"Primary Education","Primary Education",7,"Grade 4",2014,"2014","01000US","United States","04000US06","California",634531
"Primary Education","Primary Education",8,"Grade 5",2014,"2014","01000US","United States","04000US06","California",670531
"Primary Education","Primary Education",9,"Grade 6",2014,"2014","01000US","United States","04000US06","California",1366594
"Primary Education","Primary Education",10,"Grade 7",2014,"2014","01000US","United States","04000US06","California",660430
"Secondary Education","Secondary Education",11,"Grade 8",2014,"2014","01000US","United States","04000US06","California",879842
"Secondary Education","Secondary Education",12,"Grade 9",2014,"2014","01000US","United States","04000US06","California",1092002
"Secondary Education","Secondary Education",13,"Grade 10",2014,"2014","01000US","United States","04000US06","California",962151
"Secondary Education","Secondary Education",14,"Grade 11",2014,"2014","01000US","United States","04000US06","California",1224538
"Secondary Education","Secondary Education",15,"12th grade - no diploma",2014,"2014","01000US","United States","04000US06","California",798684
"Some college","Some college",18,"Some college, but less than 1 year",2014,"2014","01000US","United States","04000US06","California",1846734
"Some college","Some college",19,"1 or more years of college credit, no degree",2014,"2014","01000US","United States","04000US06","California",5351564
